BUF,10,SD,22
STL,31,DAL,34
PHI,37,WAS,34
NYG,30,HOU,17
NO,20,MIN,9
CIN,33,TEN,7
CLE,21,BAL,23
DET,19,GB,7
JAC,17,IND,44
NE,16,OAK,9
ARI,23,SF,14
SEA,26,DEN,20
MIA,15,KC,34
CAR,19,PIT,37
NYJ,19,CHI,27

WAS,14,NYG,45
CHI,17,GB,38
HOU,23,BUF,17
IND,41,TEN,17
BAL,38,CAR,10
NYJ,17,DET,24
PIT,24,TB,27
OAK,14,MIA,38
SD,33,JAC,14
SF,26,PHI,21
MIN,41,ATL,28
DAL,38,NO,17
KC,41,NE,14

GB,42,MIN,10
CAR,31,CHI,24
TEN,28,CLE,29
PHI,34,STL,28
NYG,30,ATL,20
NO,37,TB,31
DAL,20,HOU,17
DET,14,BUF,17
IND,20,BAL,13
JAC,9,PIT,17
DEN,41,ARI,20
SF,22,KC,17
SD,31,NYJ,0
NE,43,CIN,17
WAS,17,SEA,27

HOU,28,IND,33
CLE,31,PIT,10
BUF,22,NE,37
CIN,37,CAR,37
TEN,16,JAC,14
MIA,24,GB,27
MIN,3,DET,17
NYJ,17,DEN,31
TB,17,BAL,48
OAK,28,SD,31
ATL,13,CHI,27
SEA,23,DAL,30
ARI,30,WAS,20
PHI,27,NYG,0
STL,17,SF,31

NE,27,NYJ,25
BAL,29,ATL,7
WAS,19,TEN,17
STL,28,SEA,26
JAC,24,CLE,6
IND,27,CIN,0
BUF,17,MIN,16
CHI,14,MIA,27
DET,24,NO,23
GB,38,CAR,17
SD,20,KC,23
OAK,13,ARI,24
DAL,31,NYG,21
DEN,42,SF,17
PIT,30,HOU,23


DEN,35,SD,21
ATL,21,DET,22
TB,13,MIN,19
NYJ,23,BUF,43
NE,51,CHI,23
CAR,9,SEA,13
JAC,13,MIA,27
CIN,27,BAL,24
TEN,16,HOU,30
KC,34,STL,7
ARI,24,PHI,20
PIT,51,IND,34
CLE,23,OAK,13
NO,44,GB,23
DAL,17,WAS,20

CAR,10,NO,28
CLE,22,TB,17
DAL,17,ARI,28
HOU,21,PHI,31
KC,24,NYJ,10
CIN,33,JAC,23
MIA,37,SD,0
MIN,29,WAS,26
SF,10,STL,13
NE,43,DEN,21
SEA,30,OAK,24
PIT,43,BAL,23
NYG,24,IND,40

CIN,3,CLE,24
BUF,13,KC,17
DET,20,MIA,16
JAC,17,DAL,31
NO,24,SF,27
BAL,21,TEN,7
NYJ,20,PIT,13
TB,17,ATL,27
OAK,17,DEN,41
ARI,31,STL,14
SEA,38,NYG,17
GB,55,CHI,14
PHI,45,CAR,21

MIA,22,BUF,9
CHI,21,MIN,13
CLE,7,HOU,23
CAR,17,ATL,19
NO,10,CIN,27
WAS,7,TB,27
STL,22,DEN,7
NYG,10,SF,16
KC,24,SEA,20
SD,13,OAK,6
ARI,14,DET,6
GB,53,PHI,20
IND,20,NE,42
TEN,24,PIT,27

OAK,24,KC,20
ATL,24,CLE,26
PHI,43,TEN,24
NE,34,DET,9
MIN,21,GB,24
IND,23,JAC,3
HOU,13,CIN,22
CHI,21,TB,13
SEA,19,ARI,3
SD,27,STL,24
SF,17,WAS,13
DEN,39,MIA,36
NYG,28,DAL,31
BUF,38,NYJ,3
NO,27,BAL,34

DET,34,CHI,17
DAL,10,PHI,33
SF,3,SEA,19
HOU,45,TEN,21
STL,52,OAK,0
BAL,33,SD,34
BUF,26,CLE,10
TB,13,CIN,14
IND,49,WAS,27
JAC,25,NYG,24
MIN,31,CAR,13
PIT,32,NO,35
ATL,29,ARI,18
GB,26,NE,21
KC,16,DEN,29
NYJ,13,MIA,16

CHI,28,DAL,41
CIN,21,PIT,42
WAS,0,STL,24
TEN,7,NYG,36
NO,10,CAR,41
MIN,30,NYJ,24
MIA,13,BAL,28
CLE,24,IND,25
DET,34,TB,17
JAC,13,HOU,27
DEN,24,BUF,17
ARI,17,KC,14
PHI,14,SEA,24
OAK,24,SF,13
SD,14,NE,23
GB,43,ATL,37

STL,6,ARI,12
ATL,20,PIT,27
NYG,24,WAS,13
NE,41,MIA,13
KC,31,OAK,13
IND,17,HOU,10
CLE,0,CIN,30
BAL,20,JAC,12
BUF,21,GB,13
CAR,19,TB,17
TEN,11,NYJ,16
SD,10,DEN,22
DET,16,MIN,14
SEA,17,SF,7
PHI,27,DAL,38
CHI,15,NO,31

JAC,21,TEN,13
WAS,27,PHI,24
SF,35,SD,38
HOU,25,BAL,13
TB,3,GB,20
PIT,20,KC,12
CAR,17,CLE,13
CHI,14,DET,20
MIA,37,MIN,35
NO,14,ATL,30
NYJ,16,NE,17
STL,27,NYG,37
DAL,42,IND,7
OAK,26,BUF,24
ARI,6,SEA,35
CIN,37,DEN,28

BAL,20,CLE,10
WAS,17,DAL,44
TEN,10,IND,27
TB,20,NO,23
NYG,26,PHI,34
NE,9,BUF,17
HOU,23,JAC,17
KC,19,SD,7
MIA,24,NYJ,37
MIN,13,CHI,9
DEN,47,OAK,14
SF,20,ARI,17
GB,30,DET,20
SEA,20,STL,6
ATL,3,CAR,34
PIT,27,CIN,17
